window_ts,timestamp,mode,ticker,close_time,direction,btc_t0,btc_t5,btc_price_age_secs,abs_pct_move,yes_bid,yes_ask,spread,kalshi_yes_t5,mispricing,f_btc,g_misprice,stake,fill_price,count,order_id,order_result,settlement_ts,market_winner,outcome,pnl,cumulative_pnl
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,270,78945.7,78929.9,0.03,0.020014,0.43,0.44,0.01,0.435,no,0.0,5.6827,3.1333,0.0,no,0.011049,0.232026,1.044167,5.6827,0.59,10,paper,paper
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,330,78945.7,78906.11,0.49,0.050148,0.38,0.4,0.02,0.39,no,0.0,39.9969,3.1333,5.6827,no,0.08756,1.538392,1.336588,34.3141,0.64,54,paper,paper
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,405,78945.7,78977.48,0.08,0.040256,0.6,0.61,0.01,0.605,yes,8.8708,0.0,3.1333,39.9969,yes,0.002711,0.409107,1.010844,5.7375,0.63,9,paper,paper
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,540,78945.7,79000.13,0.5,0.068946,0.71,0.72,0.01,0.715,yes,59.028,0.0,8.8708,39.9969,yes,0.044192,2.296913,1.17495,50.1572,0.74,68,paper,paper
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,645,78945.7,79033.49,0.46,0.111203,0.88,0.89,0.01,0.885,yes,63.3553,0.0,59.028,39.9969,yes,0.005825,2.935407,1.023296,4.3272,0.91,5,paper,paper
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,765,78945.7,78988.0,0.17,0.053581,0.81,0.82,0.01,0.815,yes,67.9057,0.0,63.3553,39.9969,yes,0.047324,2.887639,1.187067,4.5505,0.84,5,paper,paper
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,240,79033.8,79100.01,0.18,0.083774,0.67,0.68,0.01,0.675,yes,8.798,0.0,0.0,0.0,yes,-0.035956,0.684274,0.85716,8.798,0.7,13,paper,paper
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,255,79033.8,79101.41,0.01,0.085546,0.67,0.69,0.02,0.68,yes,12.1314,0.0,8.798,0.0,yes,-0.02832,0.888012,0.887202,3.3334,0.71,5,paper,paper
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,285,79033.8,79099.99,0.32,0.083749,0.7,0.71,0.01,0.705,yes,16.6821,0.0,12.1314,0.0,yes,-0.020482,1.269608,0.918255,4.5508,0.73,6,paper,paper
2026-05-04T11:15:00+00:00,dh-target,KXBTC15M-26MAY040730-30,2026-05-04T11:30:00Z,330,79033.8,79096.5,1.02,0.079333,0.69,0.71,0.02,0.7,yes,20.5918,0.0,16.6821,0.0,yes,-0.00244,1.538392,0.99024,3.9097,0.73,5,paper,paper
